model,harness,task,verdict,totalTimeS,agentTimeS,rounds,tokTotal,tokIn,tokOut,cacheRead,cacheWrite,costUSD,insertions,deletions,firstPromptTokens,expertActive,expertJudgments,expertSilences,expertSteers,expertAccepted,expertRejected,expertStaleDrops,expertErrors,expertPromptTokens,expertCachedTokens,expertCompletionTokens
syn-large,pi,t14-todosweep,pass,17.4,17.4,1,4907,1147,176,3584,0,0.000403,18,0,,false,0,0,0,0,0,0,0,0,0,0
syn-large,pi,t15-pollstats,pass,20.7,20.4,1,5247,923,356,3968,0,0.000475,1,0,,false,0,0,0,0,0,0,0,0,0,0
syn-large,pi,t16-apisum,pass,47.9,46.7,1,7755,1176,307,6272,0,0.000581,12,0,,false,0,0,0,0,0,0,0,0,0,0
syn-large,pi,t17-doccheck,pass,58,57.6,1,25307,2266,1281,21760,0,0.001851,69,0,,false,0,0,0,0,0,0,0,0,0,0
syn-large,pi,t18-lruttl,pass,40.5,40.4,1,9113,2827,1102,5184,0,0.001182,96,10,,false,0,0,0,0,0,0,0,0,0,0
syn-large,pi,t19-tokbucket,pass,448.6,448.5,2,39365,3236,2849,33280,0,0.003241,19,8,,false,0,0,0,0,0,0,0,0,0,0
syn-large,pi,t20-jsonpatch,pass,59.4,59.2,1,24436,8997,2063,13376,0,0.002916,150,19,,false,0,0,0,0,0,0,0,0,0,0
syn-large,pi,t21-wireproto,pass,28.7,28.6,1,14548,4041,1099,9408,0,0.001532,56,8,,false,0,0,0,0,0,0,0,0,0,0
syn-large,pi,t22-cronnext,pass,103.4,103.3,1,28999,4093,1546,23360,0,0.002321,90,17,,false,0,0,0,0,0,0,0,0,0,0
syn-large,pi,t23-mergesched,pass,32.4,32.3,1,7563,1762,873,4928,0,0.000898,67,4,,false,0,0,0,0,0,0,0,0,0,0
syn-large,pi,t24-editops,pass,101.4,101.2,1,23783,9371,1868,12544,0,0.002841,66,13,,false,0,0,0,0,0,0,0,0,0,0
syn-large,pi,t25-shardmap,pass,25.8,25.7,1,11042,2059,983,8000,0,0.001120,76,16,,false,0,0,0,0,0,0,0,0,0,0
syn-large,pi,t26-logfilter,pass,60.5,60.4,1,15732,6485,1951,7296,0,0.002240,209,4,,false,0,0,0,0,0,0,0,0,0,0
syn-large,pi,t27-tarpeek,pass,60.4,59.6,1,48963,6175,1636,41152,0,0.003390,87,2,,false,0,0,0,0,0,0,0,0,0,0
