model,harness,task,verdict,totalTimeS,agentTimeS,rounds,tokTotal,tokIn,tokOut,cacheRead,cacheWrite,costUSD,insertions,deletions,firstPromptTokens,expertActive,expertJudgments,expertSilences,expertSteers,expertAccepted,expertRejected,expertStaleDrops,expertErrors,expertPromptTokens,expertCachedTokens,expertCompletionTokens
syn-large,niffler,t01-roman,pass,35.6,35.2,1,11719,5601,230,5888,0,0.001191,13,4,2497,false,0,0,0,0,0,0,0,0,0,0
syn-large,niffler,t02-jsonrepair,pass,55.8,55.6,1,20472,3636,580,16256,0,0.001486,57,12,2539,false,0,0,0,0,0,0,0,0,0,0
syn-large,niffler,t03-ringbuffer,pass,41.7,40.8,1,17135,5920,847,10368,0,0.001726,13,4,2513,false,0,0,0,0,0,0,0,0,0,0
syn-large,niffler,t04-csvbugfix,pass,32.8,32.6,1,9156,3359,293,5504,0,0.000871,3,3,2470,false,0,0,0,0,0,0,0,0,0,0
syn-large,niffler,t05-todostore,pass,24.1,23.8,1,11723,993,234,10496,0,0.000686,16,15,2455,false,0,0,0,0,0,0,0,0,0,0
syn-large,niffler,t06-stackvm,pass,74.9,74.4,1,74435,10647,3244,60544,0,0.005641,150,40,2496,false,0,0,0,0,0,0,0,0,0,0
syn-large,niffler,t07-validate,pass,142.8,142.6,1,59740,9460,1768,48512,0,0.004243,7,5,2466,false,0,0,0,0,0,0,0,0,0,0
syn-large,niffler,t08-logsum,pass,109.2,108.8,1,20806,4172,570,16064,0,0.001553,49,2,2462,false,0,0,0,0,0,0,0,0,0,0
syn-large,niffler,t09-poolrace,pass,44,42.4,1,11236,3068,168,8000,0,0.000864,4,1,2481,false,0,0,0,0,0,0,0,0,0,0
syn-large,niffler,t10-iniparse,pass,38,35.7,1,14249,3969,552,9728,0,0.001260,8,7,2469,false,0,0,0,0,0,0,0,0,0,0
syn-large,niffler,t11-asyncbugs,pass,57.9,57.6,1,31793,3493,588,27712,0,0.001926,6,11,2466,false,0,0,0,0,0,0,0,0,0,0
syn-large,niffler,t12-refactor,pass,110.4,110,1,56840,5626,1358,49856,0,0.003517,8,2,2469,false,0,0,0,0,0,0,0,0,0,0
syn-large,niffler,t13-batchrename,pass,12.9,12.4,1,15882,1420,190,14272,0,0.000879,27,27,2486,false,0,0,0,0,0,0,0,0,0,0
syn-large,niffler,t14-todosweep,pass,27.3,27.1,1,11962,6234,96,5632,0,0.001208,18,0,2479,false,0,0,0,0,0,0,0,0,0,0
syn-large,niffler,t15-pollstats,pass,29.7,29.2,1,15442,6461,277,8704,0,0.001456,1,0,2491,false,0,0,0,0,0,0,0,0,0,0
syn-large,niffler,t16-apisum,pass,32.7,31.4,1,15194,3610,192,11392,0,0.001093,12,0,2493,false,0,0,0,0,0,0,0,0,0,0
syn-large,niffler,t17-doccheck,pass,37.5,37.3,1,20310,1422,456,18432,0,0.001179,34,0,2571,false,0,0,0,0,0,0,0,0,0,0
syn-large,niffler,t18-lruttl,pass,45.2,44.7,1,15391,5489,1070,8832,0,0.001712,100,12,2479,false,0,0,0,0,0,0,0,0,0,0
syn-large,niffler,t19-tokbucket,pass,41,40.8,1,16559,4793,502,11264,0,0.001421,23,18,2453,false,0,0,0,0,0,0,0,0,0,0
syn-large,niffler,t20-jsonpatch,pass,57.7,57.3,1,29919,3667,1996,24256,0,0.002518,137,15,2476,false,0,0,0,0,0,0,0,0,0,0
syn-large,niffler,t21-wireproto,pass,60.6,60.1,1,17363,2203,760,14400,0,0.001286,70,31,2456,false,0,0,0,0,0,0,0,0,0,0
syn-large,niffler,t22-cronnext,pass,81.9,81.7,1,101440,10318,1970,89152,0,0.006099,86,17,2475,false,0,0,0,0,0,0,0,0,0,0
syn-large,niffler,t23-mergesched,pass,81.2,80.7,1,13275,907,720,11648,0,0.000962,60,7,2454,false,0,0,0,0,0,0,0,0,0,0
syn-large,niffler,t24-editops,pass,53.1,52.7,1,28116,3042,1458,23616,0,0.002130,64,12,2468,false,0,0,0,0,0,0,0,0,0,0
syn-large,niffler,t25-shardmap,pass,64.3,62.5,1,16772,4456,732,11584,0,0.001498,81,30,2471,false,0,0,0,0,0,0,0,0,0,0
syn-large,niffler,t26-logfilter,pass,71.5,71.2,1,39078,3854,1944,33280,0,0.002881,177,4,2444,false,0,0,0,0,0,0,0,0,0,0
syn-large,niffler,t27-tarpeek,pass,91.6,90.5,1,60622,6640,1374,52608,0,0.003787,71,1,2466,false,0,0,0,0,0,0,0,0,0,0
syn-large,niffler,t28-docbackfill,pass,67.1,66.5,1,12817,1606,267,10944,0,0.000812,18,9,2522,false,0,0,0,0,0,0,0,0,0,0
syn-large,niffler,t29-logrollup,pass,28.4,28.2,1,9859,1237,238,8384,0,0.000640,436,0,2511,false,0,0,0,0,0,0,0,0,0,0
syn-large,niffler,t30-ifacedrift,pass,32.8,32.6,1,24011,2387,312,21312,0,0.001367,48,48,2509,false,0,0,0,0,0,0,0,0,0,0
syn-large,pi,t28-docbackfill,pass,26.1,25.8,1,11675,2525,510,8640,0,0.000979,18,9,,false,0,0,0,0,0,0,0,0,0,0
syn-large,pi,t29-logrollup,pass,12.1,12,1,4518,1644,314,2560,0,0.000506,436,0,,false,0,0,0,0,0,0,0,0,0,0
syn-large,pi,t30-ifacedrift,pass,14.8,14.7,1,5495,2470,273,2752,0,0.000617,48,48,,false,0,0,0,0,0,0,0,0,0,0
